referral_id|taxonomy_to_find|to_feed_to_algo|recommended_cluster_labels|correct_labels|cluster_order|recommendation_time
76798627|BD-1800.2000 * YF-3000.2193|['BD-1800.2000', 'BD-2400.2590 * YF-3000.2193', 'BD-2400.2590 * YF-3000.2193']|[(10,), (37,), (None,), (67,), (137,)]|False|-1|0:00:00.215816
73054377|DT-8800|['DT-8700.8650', 'NS-1900']|[(110,), (8,), (142,), (129,), (144,)]|True|2|0:00:00.118698
78825240|BH-8300.3000|['FL-6500', 'TJ-3200.4500', 'DD-1500.4150']|[(182,), (40,), (90,), (101,), (125,)]|True|1|0:00:00.096540
69015796|PH-2950.1500|['PH-2950.1500', 'PH-2950.1500', 'PH-2950.1500', 'PH-2950.1500', 'PH-2950.1500', 'BH-1800.8500']|[(10,), (37,), (None,), (5,), (67,)]|True|0|0:00:00.278402
72131813|BH-3800.7000|['BH-3800.7000', 'NS-1900']|[(67,), (153,), (110,), (142,), (None,)]|True|0|0:00:00.393239
81452640|BD-5000.1470|['BM-3000.1000', 'BM-6500.6500-650', 'BM-6500.1500-250']|[(67,), (10,), (37,), (30,), (None,)]|True|2|0:00:00.452370
75037621|BD-1800.2000|['BD-2400.2590', 'BD-2400.2590 * YF-3000.2193']|[(10,), (37,), (137,), (None,), (67,)]|True|1|0:00:00.300747
80364545|NS-1900|['NT-8900 * YF-3000.2193']|[]|False|-1|0:00:00.014530
77509123|RP-1400.2500|['BH-1800.8500 * YS-5000.5000']|[(67,), (5,), (130,), (153,), (None,)]|True|0|0:00:00.223345
62742740|TD-6600.6500-450|['TD-0300.1200 * YZ-3150']|[]|False|-1|0:00:00.019081
80836084|FV-1400|['TJ-3200.4500', 'FP-4000', 'FT-3200']|[(67,), (182,), (125,), (None,), (153,)]|True|1|0:00:00.286580
79403054|LH-2700.9500|['TD-1100 * YF-3000.2193 * YZ-6910', 'JP-6800 * YF-3000.2193', 'JR-8000.6400 * YF-3000.2193']|[]|False|-1|0:00:00.015714
66297445|BM-6500.1500-250 * YV-3000|['BM-6500.1500-250', 'BM-6500.1500-250']|[(10,), (37,), (None,), (67,), (93,)]|True|4|0:00:00.214353
68781543|PH-2950.3200|['PH-2950.1500', 'PH-2950.1500']|[(10,), (37,), (None,), (67,), (93,)]|True|0|0:00:00.249805
73025960|LH-0600.5000|['NS-1800.8000-820', 'NT-8900', 'DT-8700.2000-300']|[(153,), (142,), (129,), (20,), (67,)]|False|-1|0:00:00.104126
60401247|LV-6800|['LH-2600.6500']|[(126,), (137,), (18,), (53,), (None,)]|False|-1|0:00:00.063877
81026296|NS-8000.6500|['TJ-3200.2500-650 * YZ-2550', 'DF-7000.1850']|[(117,), (8,), (142,), (None,), (110,)]|True|0|0:00:00.107248
72398648|FL-6500|['TC-5000', 'JP-1500.1700-150']|[(8,), (105,), (None,), (67,), (117,)]|True|4|0:00:00.091597
75532025|NS-7000.1400|['NS-1800.8000-820']|[(153,), (129,), (67,), (None,), (10,)]|False|-1|0:00:00.140603
62409607|FT-6100|['FT-1030']|[(117,), (153,), (80,), (125,), (67,)]|True|4|0:00:00.102861
61646338|FL-6500|['FL-6650', 'DD-1500.5200', 'FL-7000']|[(117,), (125,), (81,), (None,), (110,)]|True|0|0:00:00.081582
82414768|BD-1800.2250|['BD-1800.2000', 'BD-1800.2000']|[(10,), (37,), (None,), (67,), (137,)]|True|1|0:00:00.219928
81052349|LH-5100|['NS-1800.8000-820']|[(153,), (129,), (67,), (None,), (10,)]|True|0|0:00:00.090281
80771957|NT-8900|['NT-8900', 'LH-5100 * YF-3000.2400']|[(20,), (67,), (37,), (None,), (10,)]|True|0|0:00:00.062364
62266094|RP-1500.1400-750|['FT-3000.1750', 'RP-1400.8000-800 * YS-5000.5000', 'RP-1400.8000-800', 'PN-8100.0200 * YX-0300.8100']|[(37,), (31,), (115,), (10,), (None,)]|True|1|0:00:00.120906
61679787|NL-5000.2600|['PH-5800', 'LH-2700.1700 * YF-3000.2440', 'LT-1750 * YF-3000.2440', 'LH-2700.1700 * YF-3000.2440 * YH-6000.3280']|[(62,), (116,), (137,), (None,), (193,)]|False|-1|0:00:00.054302
66840259|LT-2800|['PH-3300.3000', 'PH-3300.3000']|[(137,), (195,), (49,), (None,), (62,)]|True|1|0:00:00.097909
68303817|NT-8900|['NL-1000.6350-650']|[(153,), (142,), (67,), (None,), (10,)]|False|-1|0:00:00.085048
62048189|BD-5000.8300|['BD-5000.8300', 'BH-1800.8500 * YS-5000.5000']|[(67,), (5,), (130,), (153,), (None,)]|False|-1|0:00:00.232952
72520984|NS-1800.9500 * YX-0600.9100|['FT-4800']|[(182,), (90,), (101,), (67,), (None,)]|False|-1|0:00:00.072424
72089015|BT-8750.3300 * YF-3000.2193|['JP-1500.1700-150']|[]|False|-1|0:00:00.015885
64952181|BH-3900.3100|['BH-3900.3100', 'FT-4500.4550']|[(67,), (37,), (31,), (40,), (10,)]|True|0|0:00:00.398938
65698314|TD-1600.3200|['BD-1875', 'BD-1875', 'BD-1875']|[(10,), (37,), (None,), (93,), (67,)]|True|1|0:00:00.290636
78123418|TJ-5500.7000|['TJ-5500.8500', 'TJ-5500.6000']|[]|False|-1|0:00:00.016234
70080997|DT-8800|['DM-1800']|[(144,), (71,), (67,), (149,), (None,)]|True|2|0:00:00.049045
66099555|LH-5100|['NL-1000.6200', 'BV-8900', 'BV-8900']|[(67,), (110,), (142,), (40,), (None,)]|True|2|0:00:00.421899
78077407|RP-1500.1400-400|['TJ-3000.8000 * YX-0300.0190 * YX-0300.8100']|[]|False|-1|0:00:00.021331
77991567|LH-5100|['TI-1800.2000', 'LH-2600.1700', 'TI-1800.2500']|[(10,), (37,), (None,), (135,), (67,)]|False|-1|0:00:00.300941
64778900|BM-6500.6500-450|['TP-6600 * YZ-3100', 'BH-8400.3000']|[(67,), (13,), (153,), (182,), (None,)]|True|0|0:00:00.120906
67273975|BM-6500.1500-920|['BM-6500.1500-120', 'BD-1800.2000']|[(10,), (37,), (None,), (67,), (137,)]|True|1|0:00:00.239026
